Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
0         ,1         ,000_7aaa.mol2            ,000_7aaa.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,2         ,000_7aaa.mol2            ,001_7aaa_docked.sdf      ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,3         ,000_7aaa.mol2            ,001_7aab.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,4         ,000_7aaa.mol2            ,001_7aab.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,5         ,000_7aaa.mol2            ,002_7aab.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,6         ,000_7aaa.mol2            ,002_7aac.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,7         ,000_7aaa.mol2            ,002_7aac.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,8         ,000_7aaa.mol2            ,003_7aac.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,9         ,000_7aaa.mol2            ,003_7aad.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,10        ,000_7aaa.mol2            ,003_7aad.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,11        ,000_7aaa.mol2            ,004_7aad.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,12        ,000_7aaa.mol2            ,004_7aaf.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,13        ,000_7aaa.mol2            ,004_7aaf.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,14        ,000_7aaa.mol2            ,005_7aaf.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,15        ,000_7aaa.mol2            ,005_7aag.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,16        ,000_7aaa.mol2            ,005_7aag.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,17        ,000_7aaa.mol2            ,006_7aag.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,18        ,000_7aaa.mol2            ,006_7aah.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,19        ,000_7aaa.mol2            ,006_7aah.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,20        ,000_7aaa.mol2            ,007_7aah.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,21        ,000_7aaa.mol2            ,007_7aai.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,22        ,000_7aaa.mol2            ,007_7aai.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,23        ,000_7aaa.mol2            ,008_7aai.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,24        ,000_7aaa.mol2            ,008_7aaj.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,25        ,000_7aaa.mol2            ,008_7aaj.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,26        ,000_7aaa.mol2            ,009_7aaj.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,27        ,000_7aaa.mol2            ,009_7aak.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,28        ,000_7aaa.mol2            ,009_7aak.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,29        ,000_7aaa.mol2            ,010_7aak.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,30        ,000_7aaa.mol2            ,010_7aal.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,31        ,000_7aaa.mol2            ,010_7aal.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,32        ,000_7aaa.mol2            ,011_7aal.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,33        ,000_7aaa.mol2            ,011_7aam.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,34        ,000_7aaa.mol2            ,011_7aam.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,35        ,000_7aaa.mol2            ,012_7aam.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,36        ,000_7aaa.mol2            ,012_7aba.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,37        ,000_7aaa.mol2            ,012_7aba.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,38        ,000_7aaa.mol2            ,013_7aba.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,39        ,000_7aaa.mol2            ,013_7aca.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,40        ,000_7aaa.mol2            ,013_7aca.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,41        ,000_7aaa.mol2            ,014_7aca.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,42        ,000_7aaa.mol2            ,014_7ada.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,43        ,000_7aaa.mol2            ,014_7ada.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,44        ,000_7aaa.mol2            ,015_7ada.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,45        ,000_7aaa.mol2            ,015_7aea.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,46        ,000_7aaa.mol2            ,015_7aea.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,47        ,000_7aaa.mol2            ,016_7aea.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,48        ,000_7aaa.mol2            ,016_7aga.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,49        ,000_7aaa.mol2            ,016_7aga.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,50        ,000_7aaa.mol2            ,017_7aga.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,51        ,000_7aaa.mol2            ,017_7aha.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,52        ,000_7aaa.mol2            ,017_7aha.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,53        ,000_7aaa.mol2            ,018_7aha.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,54        ,000_7aaa.mol2            ,018_7ahb.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,55        ,000_7aaa.mol2            ,018_7ahb.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,56        ,000_7aaa.mol2            ,019_7ahb.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,57        ,000_7aaa.mol2            ,019_7aia.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,58        ,000_7aaa.mol2            ,019_7aia.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,59        ,000_7aaa.mol2            ,020_7aia.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,60        ,000_7aaa.mol2            ,020_7bba.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,61        ,000_7aaa.mol2            ,020_7bba.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,62        ,000_7aaa.mol2            ,021_7bba.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,63        ,000_7aaa.mol2            ,021_7bha.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,64        ,000_7aaa.mol2            ,021_7bha.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,65        ,000_7aaa.mol2            ,022_7bha.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,66        ,000_7aaa.mol2            ,022_7bhb.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,67        ,000_7aaa.mol2            ,022_7bhb.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,68        ,000_7aaa.mol2            ,023_7bhb.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,69        ,000_7aaa.mol2            ,023_7cba.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,70        ,000_7aaa.mol2            ,023_7cba.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,71        ,000_7aaa.mol2            ,024_7cba.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,72        ,000_7aaa.mol2            ,024_7cfa.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,73        ,000_7aaa.mol2            ,024_7cfa.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,74        ,000_7aaa.mol2            ,025_7cfa.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,75        ,000_7aaa.mol2            ,025_7cha.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,76        ,000_7aaa.mol2            ,025_7cha.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,77        ,000_7aaa.mol2            ,026_7cha.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,78        ,000_7aaa.mol2            ,026_7dba.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,79        ,000_7aaa.mol2            ,026_7dba.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,80        ,000_7aaa.mol2            ,027_7dba.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,81        ,000_7aaa.mol2            ,027_7dda.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,82        ,000_7aaa.mol2            ,027_7dda.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,83        ,000_7aaa.mol2            ,028_7dda.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,84        ,000_7aaa.mol2            ,028_7dea.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,85        ,000_7aaa.mol2            ,028_7dea.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,86        ,000_7aaa.mol2            ,029_7dea.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,87        ,000_7aaa.mol2            ,029_7dfa.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,88        ,000_7aaa.mol2            ,029_7dfa.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,89        ,000_7aaa.mol2            ,030_7dfa.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,90        ,000_7aaa.mol2            ,030_7dfc.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,91        ,000_7aaa.mol2            ,030_7dfc.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,92        ,000_7aaa.mol2            ,031_7dfc.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,93        ,000_7aaa.mol2            ,031_7dfm.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,94        ,000_7aaa.mol2            ,031_7dfm.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,95        ,000_7aaa.mol2            ,032_7dfm.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,96        ,000_7aaa.mol2            ,032_7dfn.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,97        ,000_7aaa.mol2            ,032_7dfn.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,98        ,000_7aaa.mol2            ,033_7dfn.sdf             ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,99        ,000_7aaa.mol2            ,033_7dfo.mol2            ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
