Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
0         ,1         ,000_docked_10.sdf        ,001_docked_11.sdf        ,0.30119        ,0.30119        ,0.30119        ,No        ,0:1,1:0,2:9,5:21,6:6,7:8,8:7,9:2,10:22,11:11,12:12,13:13,14:14,15:17,18:16,20:20,21:19,22:10,23:24
0         ,2         ,000_docked_10.sdf        ,002_docked_12.sdf        ,0.70469        ,0.70469        ,0.70469        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:17,16:15,17:22,18:18,19:19,20:21,21:20,22:23,23:24
0         ,3         ,000_docked_10.sdf        ,003_docked_13.sdf        ,0.33287        ,0.33287        ,0.33287        ,No        ,2:2,3:3,4:4,5:5,6:6,7:7,8:29,10:10,11:11,12:12,13:13,14:14,16:16,17:17,19:19,20:21,21:20,23:24
0         ,4         ,000_docked_10.sdf        ,004_docked_14.sdf        ,0.06721        ,0.06721        ,0.06721        ,No        ,6:6,11:11,12:12,13:13,14:14,20:20,21:19,23:23
0         ,5         ,000_docked_10.sdf        ,005_docked_15.sdf        ,0.70469        ,0.70469        ,0.70469        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:15,16:17,17:21,18:16,19:18,20:19,21:20,22:22,23:23
0         ,6         ,000_docked_10.sdf        ,006_docked_16.sdf        ,0.86071        ,0.86071        ,0.86071        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:21,21:20,22:22,23:24,24:26,25:25
0         ,7         ,000_docked_10.sdf        ,007_docked_2.sdf         ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:22,18:18,19:19,20:20,21:21,22:23,23:24,26:17
0         ,8         ,000_docked_10.sdf        ,008_docked_3.sdf         ,0.12246        ,0.12246        ,0.12246        ,No        ,0:1,1:0,2:9,5:23,6:6,7:8,8:7,9:2,11:11,12:12,13:13,14:14,15:19,18:15,20:22,21:21,22:10,23:24
0         ,9         ,000_docked_10.sdf        ,009_docked_4.sdf         ,0.90484        ,0.90484        ,0.90484        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:21,18:17,19:18,20:19,21:20,22:22,23:23,24:24,25:25,26:26
0         ,10        ,000_docked_10.sdf        ,010_docked_5.sdf         ,0.27253        ,0.27253        ,0.27253        ,No        ,0:0,1:9,2:8,6:6,7:7,8:2,9:1,10:22,11:11,12:12,13:13,14:14,15:17,18:16,20:21,21:20,22:18,23:23
0         ,11        ,000_docked_10.sdf        ,011_docked_6.sdf         ,0.30119        ,0.30119        ,0.30119        ,No        ,0:0,1:9,2:8,6:6,7:7,8:2,9:1,11:11,12:12,13:13,14:14,15:15,18:22,20:21,21:20,22:18,23:23,24:25,25:26,26:24
0         ,12        ,000_docked_10.sdf        ,012_docked_7.sdf         ,0.70469        ,0.70469        ,0.70469        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,17:17,18:19,19:20,20:22,21:21,22:23,23:24,24:25,25:27,26:26
0         ,13        ,000_docked_10.sdf        ,013_docked_8.sdf         ,0.70469        ,0.70469        ,0.70469        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:13,13:12,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22
0         ,14        ,000_docked_10.sdf        ,014_docked_9.sdf         ,0.95123        ,0.95123        ,0.95123        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:21,21:20,22:22,23:23,24:25,25:24,26:26
0         ,15        ,000_docked_10.sdf        ,015_docked_xtal_1.sdf    ,0.81873        ,0.81873        ,0.81873        ,No        ,0:1,1:2,2:3,3:4,4:5,5:6,6:7,7:8,8:9,9:10,10:12,11:14,12:16,13:15,14:17,15:0,16:13,17:25,18:21,19:22,20:23,21:24,22:11,23:29,24:18,25:19,26:20
