Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
0         ,1         ,000_docked_1.sdf         ,001_docked_10.sdf        ,0.81873        ,0.81873        ,0.81873        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:22,18:18,19:19,20:20,21:21,22:17,23:23,24:24,25:25,26:26
0         ,2         ,000_docked_1.sdf         ,002_docked_11.sdf        ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:22,18:17,19:18,20:19,21:20,22:21,23:24
0         ,3         ,000_docked_1.sdf         ,003_docked_12.sdf        ,0.05502        ,0.05502        ,0.05502        ,No        ,6:6,11:11,12:12,13:13,14:14,20:20,21:21,23:24
0         ,4         ,000_docked_1.sdf         ,004_docked_13.sdf        ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:22,18:18,19:19,20:20,21:21,22:17,23:24,24:27,25:26,26:25
0         ,5         ,000_docked_1.sdf         ,005_docked_14.sdf        ,0.06721        ,0.06721        ,0.06721        ,No        ,6:6,11:11,12:12,13:13,14:14,20:19,21:20,23:23
0         ,6         ,000_docked_1.sdf         ,006_docked_15.sdf        ,0.06721        ,0.06721        ,0.06721        ,No        ,6:6,11:11,12:12,13:13,14:14,20:19,21:20,23:23
0         ,7         ,000_docked_1.sdf         ,007_docked_16.sdf        ,0.04979        ,0.04979        ,0.04979        ,No        ,6:6,11:12,12:11,13:13,14:14,20:20,21:21,23:24
0         ,8         ,000_docked_1.sdf         ,008_docked_2.sdf         ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:23,18:18,19:19,20:20,21:21,22:22,23:24,26:17
0         ,9         ,000_docked_1.sdf         ,009_docked_3.sdf         ,0.33287        ,0.33287        ,0.33287        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,16:16,18:19,19:20,20:21,21:22,22:23,23:24
0         ,10        ,000_docked_1.sdf         ,010_docked_4.sdf         ,0.90484        ,0.90484        ,0.90484        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:15,16:16,17:22,18:17,19:18,20:19,21:20,22:21,23:23,24:24,25:25,26:26
0         ,11        ,000_docked_1.sdf         ,011_docked_5.sdf         ,0.90484        ,0.90484        ,0.90484        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:17,16:15,17:16,18:18,19:19,20:20,21:21,22:22,23:23,27:24,28:25,29:26
0         ,12        ,000_docked_1.sdf         ,012_docked_6.sdf         ,0.81873        ,0.81873        ,0.81873        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:22,18:18,19:19,20:20,21:21,22:17,23:23,24:26,25:25,26:24
0         ,13        ,000_docked_1.sdf         ,013_docked_7.sdf         ,0.74082        ,0.74082        ,0.74082        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:23,18:19,19:20,20:21,21:22,22:17,23:24,24:27,25:26,26:25
